"Species","species","average","overall","sd","ratio","ava","avb","ord","cusum","p","Comparison","Position","Kingdom","Phylum","Class","Order","Family","Genus","Species.y"
"ASV_20461","ASV_20461",0.00532073774179037,0.96112220722747,0.00347289900002767,1.53207385004516,0,39.4266666666667,17796,1,0.021,"control_1931-1962_latrine_LIA-1931",20461,"Bacteria","Bacteroidota","Bacteroidia","Sphingobacteriales","Sphingobacteriaceae","Daejeonella",NA
"ASV_24939","ASV_24939",0.00427047533363323,0.96112220722747,0.00538890481747079,0.792456997902131,31.7366666666667,0.277333333333333,23814,1,0.01,"control_1931-1962_latrine_LIA-1931",24939,"Bacteria","Pseudomonadota","Alphaproteobacteria","Hyphomicrobiales","Xanthobacteraceae","Rhodoplanes",NA
"ASV_22403","ASV_22403",0.00381970310391363,0.96112220722747,0.0045581543837422,0.837993359228366,28.304,0,20380,1,0.037,"control_1931-1962_latrine_LIA-1931",22403,"Bacteria","Actinomycetota","Acidimicrobiia","Acidimicrobiales","Acidimicrobiaceae","Incertae_Sedis",NA
"ASV_1044","ASV_1044",0.00345029239766082,0.96112220722747,0.0012480636144189,2.7645164539688,28.33,2.76333333333333,28220,0.672924778040365,0.002,"control_1931-1962_latrine_LIA-1931",1044,"Bacteria","Pseudomonadota","Gammaproteobacteria","Burkholderiales","Comamonadaceae","Incertae_Sedis",NA
"ASV_4822","ASV_4822",0.00318686459739091,0.96112220722747,0.00100095774350187,3.18381531895801,23.6146666666667,0,8210,0.98008794138406,0.001,"control_1931-1962_latrine_LIA-1931",4822,"Bacteria","Acidobacteriota","Acidobacteriae","Subgroup_2","Incertae_Sedis","Incertae_Sedis",NA
"ASV_974","ASV_974",0.00272604588394062,0.96112220722747,0.00396697945403557,0.687184270936277,20.2,0,17908,0.657555785553325,0.041,"control_1931-1962_latrine_LIA-1931",974,"Bacteria","Pseudomonadota","Gammaproteobacteria","Burkholderiales","Comamonadaceae","Incertae_Sedis",NA
"ASV_993","ASV_993",0.0026600089968511,0.96112220722747,0.000666284845724065,3.99230001090662,19.7106666666667,0,11552,0.661815251327514,0.001,"control_1931-1962_latrine_LIA-1931",993,"Bacteria","Pseudomonadota","Gammaproteobacteria","Burkholderiales","Comamonadaceae","Incertae_Sedis",NA
"ASV_21486","ASV_21486",0.00253607737291948,0.96112220722747,0.00210886891717954,1.20257705552951,0.0946666666666667,18.887,19137,1,0.011,"control_1931-1962_latrine_LIA-1931",21486,"Bacteria","Bacteroidota","Bacteroidia","Cytophagales","Cytophagaceae","Cytophaga",NA
"ASV_22404","ASV_22404",0.00249077822762033,0.96112220722747,0.00362461472557672,0.687184270936277,18.4566666666667,0,20381,1,0.037,"control_1931-1962_latrine_LIA-1931",22404,"Bacteria","Actinomycetota","Acidimicrobiia","Acidimicrobiales","Acidimicrobiaceae","Incertae_Sedis",NA
"ASV_14146","ASV_14146",0.0125524966261808,0.971997989203779,0.0124133154490783,1.01121224846605,93.43,0.52,10065,1,0.022,"control_1984-2024_control_LIA",14146,"Bacteria","Cyanobacteriota","Cyanobacteriia","Cyanobacteriales","Phormidiaceae","Tychonema_CCAP_1459-11B",NA
"ASV_22406","ASV_22406",0.00982653171390013,0.971997989203779,0.00954771008368788,1.02920298456576,72.8146,0,20841,1,0.033,"control_1984-2024_control_LIA",22406,"Bacteria","Actinomycetota","Acidimicrobiia","Acidimicrobiales","Acidimicrobiaceae","Incertae_Sedis",NA
"ASV_24608","ASV_24608",0.00700184885290148,0.971997989203779,0.00331497604180931,2.11218686487999,3.0528,54.9365,23662,1,0.001,"control_1984-2024_control_LIA",24608,"Bacteria","Pseudomonadota","Alphaproteobacteria","Hyphomicrobiales","Xanthobacteraceae","Incertae_Sedis",NA
"ASV_11931","ASV_11931",0.00568136302294197,0.971997989203779,0.00483376337296977,1.17534984329435,42.8504,0.7515,7283,1,0.026,"control_1984-2024_control_LIA",11931,"Bacteria","Actinomycetota","Thermoleophilia","Solirubrobacterales","Solirubrobacteraceae","Incertae_Sedis",NA
"ASV_11735","ASV_11735",0.00564974358974359,0.971997989203779,0.00421984045334543,1.33885241686438,41.8646,0,7020,1,0.01,"control_1984-2024_control_LIA",11735,"Bacteria","Actinomycetota","Thermoleophilia","Solirubrobacterales","Solirubrobacteraceae","Incertae_Sedis",NA
"ASV_26702","ASV_26702",0.00516105263157895,0.971997989203779,0.00418115600932054,1.23436021523092,38.2434,0,26249,1,0.031,"control_1984-2024_control_LIA",26702,"Bacteria","Pseudomonadota","Alphaproteobacteria","Sphingomonadales","Sphingomonadaceae","Sphingomonas",NA
"ASV_11998","ASV_11998",0.00401622132253711,0.971997989203779,0.00317623382120172,1.26446022195481,0.2768,30.037,7377,1,0.001,"control_1984-2024_control_LIA",11998,"Bacteria","Actinomycetota","Thermoleophilia","Solirubrobacterales","Solirubrobacteraceae","Conexibacter",NA
"ASV_17988","ASV_17988",0.00374124156545209,0.971997989203779,0.00270003980813768,1.38562459493238,27.7226,0,15128,1,0.015,"control_1984-2024_control_LIA",17988,"Bacteria","Candidatus_Kapabacteria","Kapabacteria","Kapabacteriales","Incertae_Sedis","Incertae_Sedis",NA
"ASV_14169","ASV_14169",0.00346545209176788,0.971997989203779,0.00335378842163321,1.03329478669984,0,25.679,10088,1,0.001,"control_1984-2024_control_LIA",14169,"Bacteria","Candidatus_Eremiobacterota","Eremiobacteria","Incertae_Sedis","Incertae_Sedis","Incertae_Sedis",NA
"ASV_11877","ASV_11877",0.00334376518218623,0.971997989203779,0.00208492744051429,1.603780120694,0.4622,25.2395,7208,1,0.001,"control_1984-2024_control_LIA",11877,"Bacteria","Actinomycetota","Thermoleophilia","Solirubrobacterales","Solirubrobacteraceae","Incertae_Sedis",NA
